"Gene","Base Mean","log2FC","LFC SE","p-value","FDR","Significant?","Ensembl ID","Symbol","MAP locus","Gene type","Gene description"
"RPSAP35",10.944,-0.025,0.467,"9.16e-01"," NA","No","ENSG00000237684","RPSAP35","4q26","pseudo","ribosomal protein SA pseudogene 35"
"TNFRSF17",7.227,-0.025,0.574,"8.13e-01"," NA","No","ENSG00000048462","TNFRSF17","16p13.13","protein-coding","TNF receptor superfamily member 17"
"ZFY",52.607,-0.025,0.579," NA"," NA","No","ENSG00000067646","ZFY","Yp11.2","protein-coding","zinc finger protein Y-linked"
"TTC19",847.968,-0.026,0.238,"8.88e-01","9.57e-01","No","ENSG00000011295","TTC19","17p12","protein-coding","tetratricopeptide repeat domain 19"
"ANKRD42",349.652,-0.026,0.252,"8.92e-01","9.59e-01","No","ENSG00000137494","ANKRD42","11q14.1","protein-coding","ankyrin repeat domain 42"
"AP3B1",422.737,-0.026,0.25,"8.93e-01","9.59e-01","No","ENSG00000132842","AP3B1","5q14.1","protein-coding","adaptor related protein complex 3 subunit beta 1"
"TBC1D12",229.119,-0.026,0.254,"8.95e-01","9.60e-01","No","ENSG00000108239","TBC1D12","10q23.33","protein-coding","TBC1 domain family member 12"
"UVRAG",302.239,-0.026,0.266,"8.97e-01","9.61e-01","No","ENSG00000198382","UVRAG","11q13.5","protein-coding","UV radiation resistance associated"
"SUGT1P4-STRA6LP",146.506,-0.026,0.272,"8.99e-01","9.62e-01","No","ENSG00000254876","SUGT1P4-STRA6LP","9q22.33","pseudo","SUGT1P4-STRA6LP readthrough"
"CEP162",368.767,-0.026,0.271,"9.00e-01","9.62e-01","No","ENSG00000135315","CEP162","6q14.2-q14.3","protein-coding","centrosomal protein 162"
"ENSG00000297299",87.163,-0.026,0.308,"9.08e-01","9.66e-01","No","ENSG00000297299",NA,NA,NA,NA
"NENF",52.156,-0.026,0.306,"9.09e-01","9.66e-01","No","ENSG00000117691","NENF","1q32.3","protein-coding","neudesin neurotrophic factor"
"SYT9",82.246,-0.026,0.311,"9.09e-01","9.66e-01","No","ENSG00000170743","SYT9","11p15.4","protein-coding","synaptotagmin 9"
"PIGU",83.513,-0.026,0.315,"9.10e-01","9.66e-01","No","ENSG00000101464","PIGU","20q11.22","protein-coding","phosphatidylinositol glycan anchor biosynthesis class U"
"PDIA6",284.47,-0.026,0.319,"9.10e-01","9.66e-01","No","ENSG00000143870","PDIA6","2p25.1","protein-coding","protein disulfide isomerase family A member 6"
"IGFL2-AS1",47.278,-0.026,0.325,"9.11e-01","9.67e-01","No","ENSG00000268621","IGFL2-AS1","19q13.32","ncRNA","IGFL2 antisense RNA 1"
"PAX8-AS1",384.033,-0.026,0.336,"9.11e-01","9.67e-01","No","ENSG00000189223","PAX8-AS1","2q14.1","ncRNA","PAX8 antisense RNA 1"
"SLC27A2",44.912,-0.026,0.32,"9.11e-01","9.67e-01","No","ENSG00000140284","SLC27A2","15q21.2","protein-coding","solute carrier family 27 member 2"
"DYNLT1",82.929,-0.026,0.331,"9.13e-01","9.67e-01","No","ENSG00000146425","DYNLT1","6q25.3","protein-coding","dynein light chain Tctex-type 1"
"MTBP",137.556,-0.026,0.334,"9.14e-01","9.67e-01","No","ENSG00000172167","MTBP","8q24.12","protein-coding","MDM2 binding protein"
"ENSG00000308992",27.322,-0.026,0.361,"9.14e-01","9.68e-01","No","ENSG00000308992",NA,NA,NA,NA
"OTUB1",241.327,-0.026,0.355,"9.15e-01","9.68e-01","No","ENSG00000167770","OTUB1","11q13.1","protein-coding","OTU deubiquitinase, ubiquitin aldehyde binding 1"
"ENSG00000267734",40.985,-0.026,0.427,"9.15e-01","9.68e-01","No","ENSG00000267734",NA,NA,NA,NA
"PDE6A",31.477,-0.026,0.35,"9.15e-01","9.68e-01","No","ENSG00000132915","PDE6A","5q32","protein-coding","phosphodiesterase 6A"
"ENSG00000290596",25.885,-0.026,0.433,"9.16e-01","9.69e-01","No","ENSG00000290596",NA,NA,NA,NA
"ENSG00000268873",41.938,-0.026,0.362,"9.16e-01","9.69e-01","No","ENSG00000268873",NA,NA,NA,NA
"USP21P2",20.91,-0.026,0.45,"9.16e-01","9.69e-01","No","ENSG00000271356","USP21P2","2p12","pseudo","USP21 pseudogene 2"
"P2RX5-TAX1BP3",23.848,-0.026,0.368,"9.17e-01","9.69e-01","No","ENSG00000257950","P2RX5-TAX1BP3","17p13.2","ncRNA","P2RX5-TAX1BP3 readthrough (NMD candidate)"
"ENSG00000227376",19.127,-0.026,0.379,"9.17e-01","9.69e-01","No","ENSG00000227376",NA,NA,NA,NA
"ENSG00000259639",17.527,-0.026,0.499,"9.07e-01"," NA","No","ENSG00000259639",NA,NA,NA,NA
"ENSG00000286009",7.472,-0.026,0.575,"8.03e-01"," NA","No","ENSG00000286009",NA,NA,NA,NA
"HSD11B1",16.567,-0.026,0.399,"9.16e-01"," NA","No","ENSG00000117594","HSD11B1","1q32.2","protein-coding","hydroxysteroid 11-beta dehydrogenase 1"
"LOC100419562",9.05,-0.026,0.458,"9.15e-01"," NA","No","ENSG00000236159","LOC100419562","20q11.23","pseudo","ribosomal protein L13 pseudogene"
"LOC105373335",8.987,-0.026,0.453,"9.15e-01"," NA","No","ENSG00000235189","LOC105373335","Xq26.1","ncRNA","uncharacterized LOC105373335"
"TSPAN1",14.343,-0.026,0.448,"9.15e-01"," NA","No","ENSG00000117472","TSPAN1","1p34.1","protein-coding","tetraspanin 1"
"PPFIA2",3625.367,-0.027,0.243,"8.86e-01","9.55e-01","No","ENSG00000139220","PPFIA2","12q21.31","protein-coding","PTPRF interacting protein alpha 2"
"NOL10",611.605,-0.027,0.251,"8.87e-01","9.56e-01","No","ENSG00000115761","NOL10","2p25.1","protein-coding","nucleolar protein 10"
"SLC25A36",974.52,-0.027,0.258,"8.92e-01","9.58e-01","No","ENSG00000114120","SLC25A36","3q23","protein-coding","solute carrier family 25 member 36"
"SNTG1",1023.439,-0.027,0.272,"8.97e-01","9.61e-01","No","ENSG00000147481","SNTG1","8q11.21","protein-coding","syntrophin gamma 1"
"MRPS15",186.67,-0.027,0.278,"8.97e-01","9.61e-01","No","ENSG00000116898","MRPS15","1p34.3","protein-coding","mitochondrial ribosomal protein S15"
"TJP1",1429.695,-0.027,0.272,"8.98e-01","9.61e-01","No","ENSG00000104067","TJP1","15q13.1","protein-coding","tight junction protein 1"
"MDM1",227.268,-0.027,0.295,"9.02e-01","9.63e-01","No","ENSG00000111554","MDM1","12q15","protein-coding","Mdm1 nuclear protein"
"YPEL4",315.393,-0.027,0.295,"9.02e-01","9.63e-01","No","ENSG00000166793","YPEL4","11q12.1","protein-coding","yippee like 4"
"FAM228B",312.505,-0.027,0.297,"9.04e-01","9.64e-01","No","ENSG00000219626","FAM228B","2p23.3","protein-coding","family with sequence similarity 228 member B"
"KCNS1",204.093,-0.027,0.319,"9.05e-01","9.64e-01","No","ENSG00000124134","KCNS1","20q13.12","protein-coding","potassium voltage-gated channel modifier subfamily S member 1"
"BSN",3790.338,-0.027,0.312,"9.06e-01","9.65e-01","No","ENSG00000164061","BSN","3p21.31","protein-coding","bassoon presynaptic cytomatrix protein"
"ENSG00000287912",71.713,-0.027,0.336,"9.10e-01","9.66e-01","No","ENSG00000287912",NA,NA,NA,NA
"ENSG00000260641",76.878,-0.027,0.349,"9.10e-01","9.66e-01","No","ENSG00000260641",NA,NA,NA,NA
"SLC18B1",125.172,-0.027,0.354,"9.11e-01","9.67e-01","No","ENSG00000146409","SLC18B1","6q23.2","protein-coding","solute carrier family 18 member B1"
"ENSG00000288095",34.421,-0.027,0.367,"9.11e-01","9.67e-01","No","ENSG00000288095",NA,NA,NA,NA
"ZNF185",34.753,-0.027,0.366,"9.12e-01","9.67e-01","No","ENSG00000147394","ZNF185","Xq28","protein-coding","zinc finger protein 185 with LIM domain"
"PNLDC1",35.03,-0.027,0.413,"9.13e-01","9.67e-01","No","ENSG00000146453","PNLDC1","6q25.3","protein-coding","PARN like ribonuclease domain containing exonuclease 1"
"LOC101927745",590.973,-0.027,0.395,"9.13e-01","9.67e-01","No","ENSG00000229425",NA,NA,NA,NA
"ENSG00000275481",27.278,-0.027,0.39,"9.14e-01","9.68e-01","No","ENSG00000275481",NA,NA,NA,NA
"ENSG00000280431",21.551,-0.027,0.396,"9.14e-01","9.68e-01","No","ENSG00000280431",NA,NA,NA,NA
"ENSG00000286273",24.19,-0.027,0.423,"9.15e-01","9.68e-01","No","ENSG00000286273",NA,NA,NA,NA
"ENSG00000298787",21.009,-0.027,0.397,"9.15e-01","9.68e-01","No","ENSG00000298787",NA,NA,NA,NA
"LOC105371574",49.531,-0.027,0.385,"9.14e-01","9.68e-01","No","ENSG00000235979","LOC105371574","17p11.2","ncRNA","uncharacterized LOC105371574"
"MYH7",50.321,-0.027,0.402,"9.15e-01","9.68e-01","No","ENSG00000092054","MYH7","14q11.2","protein-coding","myosin heavy chain 7"
"CSKMT",14.212,-0.027,0.472,"9.10e-01"," NA","No","ENSG00000214756","CSKMT","11q12.3","protein-coding","citrate synthase lysine methyltransferase"
"ENSG00000225446",14.297,-0.027,0.413,"9.14e-01"," NA","No","ENSG00000225446",NA,NA,NA,NA
"ENSG00000227705",7.586,-0.027,0.481,"9.06e-01"," NA","No","ENSG00000227705",NA,NA,NA,NA
"ENSG00000232480",10.076,-0.027,0.453,"9.13e-01"," NA","No","ENSG00000232480",NA,NA,NA,NA
"ENSG00000248799",7.85,-0.027,0.481,"9.06e-01"," NA","No","ENSG00000248799",NA,NA,NA,NA
"ENSG00000254361",12.197,-0.027,0.443,"9.13e-01"," NA","No","ENSG00000254361",NA,NA,NA,NA
"ENSG00000262228",11.819,-0.027,0.448,"9.12e-01"," NA","No","ENSG00000262228",NA,NA,NA,NA
"ENSG00000287738",12.723,-0.027,0.485,"9.07e-01"," NA","No","ENSG00000287738",NA,NA,NA,NA
"ENSG00000297571",14.209,-0.027,0.432,"9.13e-01"," NA","No","ENSG00000297571",NA,NA,NA,NA
"ENSG00000307479",12.91,-0.027,0.449,"9.14e-01"," NA","No","ENSG00000307479",NA,NA,NA,NA
"ENSG00000307798",7.428,-0.027,0.469,"9.11e-01"," NA","No","ENSG00000307798",NA,NA,NA,NA
"FOXN3-AS2",11.18,-0.027,0.43,"9.13e-01"," NA","No","ENSG00000259073","FOXN3-AS2","14q32.11","ncRNA","FOXN3 antisense RNA 2"
"SUPT3H",253.886,-0.028,0.246,"8.82e-01","9.54e-01","No","ENSG00000196284","SUPT3H","6p21.1","protein-coding","SPT3 homolog, SAGA and STAGA complex component"
"TTLL5",723.656,-0.028,0.256,"8.86e-01","9.55e-01","No","ENSG00000119685","TTLL5","14q24.3","protein-coding","tubulin tyrosine ligase like 5"
"MFSD14CP",665.19,-0.028,0.263,"8.90e-01","9.58e-01","No","ENSG00000290770","MFSD14CP","9q22.33","pseudo","major facilitator superfamily domain containing 14C, pseudogene"
"ENSG00000278576",122.706,-0.028,0.279,"8.95e-01","9.60e-01","No","ENSG00000278576",NA,NA,NA,NA
"YBX1",210.158,-0.028,0.293,"8.96e-01","9.61e-01","No","ENSG00000065978","YBX1","1p34.2","protein-coding","Y-box binding protein 1"
"FTSJ1",85.404,-0.028,0.299,"8.98e-01","9.61e-01","No","ENSG00000068438","FTSJ1","Xp11.23","protein-coding","FtsJ RNA 2'-O-methyltransferase 1"
"SP2",75.577,-0.028,0.305,"8.99e-01","9.61e-01","No","ENSG00000167182","SP2","17q21.32","protein-coding","Sp2 transcription factor"
"MOSPD2",89.919,-0.028,0.297,"9.00e-01","9.62e-01","No","ENSG00000130150","MOSPD2","Xp22.2","protein-coding","motile sperm domain containing 2"
"EIF3L",149.43,-0.028,0.302,"9.01e-01","9.63e-01","No","ENSG00000100129","EIF3L","22q13.1","protein-coding","eukaryotic translation initiation factor 3 subunit L"
"KIRREL3-AS2",424.725,-0.028,0.312,"9.03e-01","9.64e-01","No","ENSG00000254960","KIRREL3-AS2","11q24.2","ncRNA","KIRREL3 antisense RNA 2"
"NOL11",221.024,-0.028,0.334,"9.05e-01","9.64e-01","No","ENSG00000130935","NOL11","17q24.2","protein-coding","nucleolar protein 11"
"SOCS2",88.634,-0.028,0.333,"9.05e-01","9.64e-01","No","ENSG00000120833","SOCS2","12q22","protein-coding","suppressor of cytokine signaling 2"
"B3GALT4",31.243,-0.028,0.349,"9.06e-01","9.65e-01","No","ENSG00000235863","B3GALT4","6p21.32","protein-coding","beta-1,3-galactosyltransferase 4"
"ENSG00000253270",27.14,-0.028,0.363,"9.10e-01","9.66e-01","No","ENSG00000253270",NA,NA,NA,NA
"ENSG00000287180",41.179,-0.028,0.395,"9.11e-01","9.67e-01","No","ENSG00000287180",NA,NA,NA,NA
"LINC00964",17.818,-0.028,0.427,"9.11e-01","9.67e-01","No","ENSG00000249816","LINC00964","8q24.13","ncRNA","long intergenic non-protein coding RNA 964"
"ZNF358",18.846,-0.028,0.402,"9.12e-01","9.67e-01","No","ENSG00000198816","ZNF358","19p13.2","protein-coding","zinc finger protein 358"
"ENSG00000244604",21.023,-0.028,0.386,"9.12e-01","9.67e-01","No","ENSG00000244604",NA,NA,NA,NA
"ENSG00000303854",20.985,-0.028,0.386,"9.12e-01","9.67e-01","No","ENSG00000303854",NA,NA,NA,NA
"ADAMTS18",11.583,-0.028,0.438,"9.10e-01"," NA","No","ENSG00000140873","ADAMTS18","16q23.1","protein-coding","ADAM metallopeptidase with thrombospondin type 1 motif 18"
"ENSG00000223965",10.377,-0.028,0.429,"9.11e-01"," NA","No","ENSG00000223965",NA,NA,NA,NA
"ENSG00000224875",10.355,-0.028,0.449,"9.08e-01"," NA","No","ENSG00000224875",NA,NA,NA,NA
"ENSG00000227068",14.515,-0.028,0.441,"9.11e-01"," NA","No","ENSG00000227068",NA,NA,NA,NA
"ENSG00000230555",8.285,-0.028,0.481,"9.04e-01"," NA","No","ENSG00000230555",NA,NA,NA,NA
"LOC124902013",10.409,-0.028,0.433,"9.10e-01"," NA","No","ENSG00000253607","LOC124902013","8q24.13","ncRNA","uncharacterized LOC124902013"
"SST",95.297,-0.028,0.524," NA"," NA","No","ENSG00000157005","SST","3q27.3","protein-coding","somatostatin"
"TMEM187",13.265,-0.028,0.435,"9.11e-01"," NA","No","ENSG00000177854","TMEM187","Xq28","protein-coding","transmembrane protein 187"
"C2CD5",1780.549,-0.029,0.25,"8.80e-01","9.54e-01","No","ENSG00000111731","C2CD5","12p12.1","protein-coding","C2 calcium dependent domain containing 5"
"OXSR1",549.485,-0.029,0.254,"8.81e-01","9.54e-01","No","ENSG00000172939","OXSR1","3p22.2","protein-coding","oxidative stress responsive kinase 1"
"MXI1",367.699,-0.029,0.255,"8.82e-01","9.54e-01","No","ENSG00000119950","MXI1","10q25.2","protein-coding","MAX interactor 1, dimerization protein"
"DLST",295.48,-0.029,0.263,"8.86e-01","9.55e-01","No","ENSG00000119689","DLST","14q24.3","protein-coding","dihydrolipoamide S-succinyltransferase"
"TMEM183A",233.388,-0.029,0.274,"8.87e-01","9.56e-01","No","ENSG00000163444","TMEM183A","1q32.1","protein-coding","transmembrane protein 183A"
"NME9",244.027,-0.029,0.298,"8.95e-01","9.60e-01","No","ENSG00000181322","NME9","3q22.3","protein-coding","NME/NM23 family member 9"
"LINC01484",214.501,-0.029,0.3,"8.96e-01","9.61e-01","No","ENSG00000253686","LINC01484","5q35.2","ncRNA","long intergenic non-protein coding RNA 1484"
"PCDHGA10",150.916,-0.029,0.303,"8.96e-01","9.61e-01","No","ENSG00000253846","PCDHGA10","5q31.3","protein-coding","protocadherin gamma subfamily A, 10"
"MAPK3",242.318,-0.029,0.333,"9.00e-01","9.62e-01","No","ENSG00000102882","MAPK3","16p11.2","protein-coding","mitogen-activated protein kinase 3"
"AKT3-IT1",36.99,-0.029,0.34,"9.03e-01","9.64e-01","No","ENSG00000228939","AKT3-IT1","1q44","ncRNA","AKT3 intronic transcript 1"
"EFR3B",1094.498,-0.029,0.347,"9.03e-01","9.64e-01","No","ENSG00000084710","EFR3B","2p23.3","protein-coding","EFR3 homolog B"
"TMIE",61.326,-0.029,0.328,"9.03e-01","9.64e-01","No","ENSG00000181585","TMIE","3p21.31","protein-coding","transmembrane inner ear"
"EHD2",57.793,-0.029,0.346,"9.03e-01","9.64e-01","No","ENSG00000024422","EHD2","19q13.33","protein-coding","EH domain containing 2"
"LOC100420707",38.523,-0.029,0.354,"9.06e-01","9.65e-01","No","ENSG00000259299","LOC100420707","15q13.1","pseudo","DDB1 and CUL4 associated factor 6 pseudogene"
"ENSG00000304565",34.225,-0.029,0.369,"9.06e-01","9.65e-01","No","ENSG00000304565",NA,NA,NA,NA
"FAH",37.59,-0.029,0.425,"9.06e-01","9.65e-01","No","ENSG00000103876","FAH","15q25.1","protein-coding","fumarylacetoacetate hydrolase"
"CC2D2B",44.684,-0.029,0.392,"9.07e-01","9.65e-01","No","ENSG00000188649","CC2D2B","10q24.1","protein-coding","coiled-coil and C2 domain containing 2B"
"ENSG00000258648",24.796,-0.029,0.387,"9.07e-01","9.65e-01","No","ENSG00000258648",NA,NA,NA,NA
"ENSG00000289081",24.778,-0.029,0.397,"9.07e-01","9.65e-01","No","ENSG00000289081",NA,NA,NA,NA
"ENSG00000235314",22.975,-0.029,0.417,"9.07e-01","9.65e-01","No","ENSG00000235314",NA,NA,NA,NA
"ZNF620",37.116,-0.029,0.37,"9.07e-01","9.65e-01","No","ENSG00000177842","ZNF620","3p22.1","protein-coding","zinc finger protein 620"
"ENSG00000267799",23.005,-0.029,0.414,"9.08e-01","9.66e-01","No","ENSG00000267799",NA,NA,NA,NA
"ENSG00000241984",12.991,-0.029,0.429,"9.08e-01"," NA","No","ENSG00000241984",NA,NA,NA,NA
"ENSG00000254846",8.383,-0.029,0.471,"9.04e-01"," NA","No","ENSG00000254846",NA,NA,NA,NA
"ENSG00000273249",14.733,-0.029,0.418,"9.08e-01"," NA","No","ENSG00000273249",NA,NA,NA,NA
"ENSG00000300817",9.475,-0.029,0.439,"9.08e-01"," NA","No","ENSG00000300817",NA,NA,NA,NA
"KC6",14.748,-0.029,0.492,"8.96e-01"," NA","No","ENSG00000267313","KC6",NA,"ncRNA","keratoconus gene 6"
"LOC284344",11.118,-0.029,0.44,"9.06e-01"," NA","No","ENSG00000293116","LOC284344","19q13.31","ncRNA","uncharacterized LOC284344"
"MIR4803",6.6,-0.029,0.488,"8.99e-01"," NA","No","ENSG00000264099","MIR4803","5q13.2","ncRNA","microRNA 4803"
"RN7SKP112",15,-0.029,0.459,"9.05e-01"," NA","No","ENSG00000223145","RN7SKP112","2p25.1","pseudo","RN7SK pseudogene 112"
"LRCH3",647.006,-0.03,0.248,"8.74e-01","9.50e-01","No","ENSG00000186001","LRCH3","3q29","protein-coding","leucine rich repeats and calponin homology domain containing 3"
"TXNDC15",325.377,-0.03,0.274,"8.84e-01","9.55e-01","No","ENSG00000113621","TXNDC15","5q31.1","protein-coding","thioredoxin domain containing 15"
"LGMN",253.046,-0.03,0.279,"8.85e-01","9.55e-01","No","ENSG00000100600","LGMN","14q32.12","protein-coding","legumain"
"ATN1",1181.297,-0.03,0.288,"8.91e-01","9.58e-01","No","ENSG00000111676","ATN1","12p13.31","protein-coding","atrophin 1"
"ENSG00000254938",376.433,-0.03,0.304,"8.92e-01","9.59e-01","No","ENSG00000254938",NA,NA,NA,NA
"ENSG00000285606",63.729,-0.03,0.303,"8.94e-01","9.60e-01","No","ENSG00000285606",NA,NA,NA,NA
"ADGRA3",78.253,-0.03,0.318,"8.94e-01","9.60e-01","No","ENSG00000152990","ADGRA3","4p15.2","protein-coding","adhesion G protein-coupled receptor A3"
"FGF12-AS3",44.279,-0.03,0.329,"8.96e-01","9.61e-01","No","ENSG00000226709","FGF12-AS3","3q28","ncRNA","FGF12 antisense RNA 3"
"ZNF383",129.697,-0.03,0.326,"8.97e-01","9.61e-01","No","ENSG00000188283","ZNF383","19q13.12","protein-coding","zinc finger protein 383"
"TENM2-AS1",91.685,-0.03,0.327,"8.97e-01","9.61e-01","No","ENSG00000253978","TENM2-AS1","5q34","ncRNA","TENM2 antisense RNA 2"
"TOX2",102.764,-0.03,0.33,"8.99e-01","9.62e-01","No","ENSG00000124191","TOX2","20q13.12","protein-coding","TOX high mobility group box family member 2"
"C1QTNF2",28.699,-0.03,0.354,"9.00e-01","9.62e-01","No","ENSG00000145861","C1QTNF2","5q33.3","protein-coding","C1q and TNF related 2"
"HS6ST1",194.641,-0.03,0.338,"9.01e-01","9.62e-01","No","ENSG00000136720","HS6ST1","2q14.3","protein-coding","heparan sulfate 6-O-sulfotransferase 1"
"ENSG00000260077",25.032,-0.03,0.364,"9.01e-01","9.63e-01","No","ENSG00000260077",NA,NA,NA,NA
"ENSG00000257735",29.481,-0.03,0.377,"9.02e-01","9.63e-01","No","ENSG00000257735",NA,NA,NA,NA
"ENSG00000310028",18.613,-0.03,0.447,"9.03e-01","9.64e-01","No","ENSG00000310028",NA,NA,NA,NA
"SMIM2-AS1",35.598,-0.03,0.36,"9.03e-01","9.64e-01","No","ENSG00000227258","SMIM2-AS1","13q14.11","ncRNA","SMIM2 antisense RNA 1"
"ENSG00000255547",27.909,-0.03,0.389,"9.03e-01","9.64e-01","No","ENSG00000255547",NA,NA,NA,NA
"PATE3",34.325,-0.03,0.37,"9.04e-01","9.64e-01","No","ENSG00000236027","PATE3","11q24.2","protein-coding","prostate and testis expressed 3"
"CRADD-AS1",47.657,-0.03,0.388,"9.04e-01","9.64e-01","No","ENSG00000258274","CRADD-AS1","12q22","ncRNA","CRADD antisense RNA 1"
"ENSG00000249453",27.876,-0.03,0.382,"9.04e-01","9.64e-01","No","ENSG00000249453",NA,NA,NA,NA
"CSPG4",51.027,-0.03,0.43,"9.04e-01","9.64e-01","No","ENSG00000173546","CSPG4","15q24.2","protein-coding","chondroitin sulfate proteoglycan 4"
"ENSG00000132204",53.37,-0.03,0.388,"9.04e-01","9.64e-01","No","ENSG00000132204",NA,NA,NA,NA
"ENSG00000261342",22.179,-0.03,0.42,"9.04e-01","9.64e-01","No","ENSG00000261342",NA,NA,NA,NA
"ENSG00000288548",26.403,-0.03,0.387,"9.05e-01","9.64e-01","No","ENSG00000288548",NA,NA,NA,NA
"ENSG00000307266",21.258,-0.03,0.402,"9.05e-01","9.64e-01","No","ENSG00000307266",NA,NA,NA,NA
"ENSG00000288065",30.511,-0.03,0.408,"9.05e-01","9.64e-01","No","ENSG00000288065",NA,NA,NA,NA
"LOC105378453",20.041,-0.03,0.407,"9.05e-01","9.65e-01","No","ENSG00000289441","LOC105378453","10q24.32","ncRNA","uncharacterized LOC105378453"
"ENSG00000236796",13.51,-0.03,0.433,"9.03e-01"," NA","No","ENSG00000236796",NA,NA,NA,NA
"ENSG00000266673",11.312,-0.03,0.482,"8.96e-01"," NA","No","ENSG00000266673",NA,NA,NA,NA
"ENSG00000272672",8.589,-0.03,0.451,"9.03e-01"," NA","No","ENSG00000272672",NA,NA,NA,NA
"ENSG00000294874",9.26,-0.03,0.444,"9.04e-01"," NA","No","ENSG00000294874",NA,NA,NA,NA
"ENSG00000301229",10.556,-0.03,0.423,"9.04e-01"," NA","No","ENSG00000301229",NA,NA,NA,NA
"ENSG00000303826",7.963,-0.03,0.514,"8.84e-01"," NA","No","ENSG00000303826",NA,NA,NA,NA
"ENSG00000306533",9.967,-0.03,0.439,"9.03e-01"," NA","No","ENSG00000306533",NA,NA,NA,NA
"OR51M1",13.014,-0.03,0.418,"9.05e-01"," NA","No","ENSG00000184698","OR51M1","11p15.4","protein-coding","olfactory receptor family 51 subfamily M member 1"
"RNU6-316P",12.159,-0.03,0.482,"8.96e-01"," NA","No","ENSG00000212329","RNU6-316P","18p11.21","pseudo","RNA, U6 small nuclear 316, pseudogene"
"TP53BP1",2627.774,-0.031,0.24,"8.69e-01","9.48e-01","No","ENSG00000067369","TP53BP1","15q15.3","protein-coding","tumor protein p53 binding protein 1"
"TNRC6A",2660.05,-0.031,0.258,"8.75e-01","9.51e-01","No","ENSG00000090905","TNRC6A","16p12.1","protein-coding","trinucleotide repeat containing adaptor 6A"
"EXOSC9",155.326,-0.031,0.264,"8.78e-01","9.53e-01","No","ENSG00000123737","EXOSC9","4q27","protein-coding","exosome component 9"
"ENSG00000285847",133.176,-0.031,0.281,"8.82e-01","9.54e-01","No","ENSG00000285847",NA,NA,NA,NA
"SENP1",130.243,-0.031,0.289,"8.85e-01","9.55e-01","No","ENSG00000079387","SENP1","12q13.11","protein-coding","SUMO specific peptidase 1"
"GNPDA1",132.11,-0.031,0.291,"8.86e-01","9.55e-01","No","ENSG00000113552","GNPDA1","5q31.3","protein-coding","glucosamine-6-phosphate deaminase 1"
"CAAP1",88.465,-0.031,0.302,"8.88e-01","9.57e-01","No","ENSG00000120159","CAAP1","9p21.2","protein-coding","caspase activity and apoptosis inhibitor 1"
"ZNF773",76.716,-0.031,0.329,"8.93e-01","9.59e-01","No","ENSG00000152439","ZNF773","19q13.43","protein-coding","zinc finger protein 773"
"GBE1",66.311,-0.031,0.325,"8.94e-01","9.60e-01","No","ENSG00000114480","GBE1","3p12.2","protein-coding","1,4-alpha-glucan branching enzyme 1"
"TNS3",72.272,-0.031,0.348,"8.96e-01","9.61e-01","No","ENSG00000136205","TNS3","7p12.3","protein-coding","tensin 3"
"ITPRID1",27.314,-0.031,0.362,"8.98e-01","9.61e-01","No","ENSG00000180347","ITPRID1","7p14.3","protein-coding","ITPR interacting domain containing 1"
"ENSG00000225711",23.021,-0.031,0.373,"8.98e-01","9.61e-01","No","ENSG00000225711",NA,NA,NA,NA
"ADAMTS6",27.961,-0.031,0.368,"9.00e-01","9.62e-01","No","ENSG00000049192","ADAMTS6","5q12.3","protein-coding","ADAM metallopeptidase with thrombospondin type 1 motif 6"
"ENSG00000305018",23.842,-0.031,0.428,"9.00e-01","9.62e-01","No","ENSG00000305018",NA,NA,NA,NA
"KLHL41",29.171,-0.031,0.409,"9.01e-01","9.63e-01","No","ENSG00000239474","KLHL41","2q31.1","protein-coding","kelch like family member 41"
"ZNF799",28.795,-0.031,0.371,"9.01e-01","9.63e-01","No","ENSG00000196466","ZNF799","19p13.2","protein-coding","zinc finger protein 799"
"DSCAM-AS1",25.96,-0.031,0.394,"9.02e-01","9.63e-01","No","ENSG00000235123","DSCAM-AS1","21q22.2","ncRNA","DSCAM antisense RNA 1"
"CFAP276",15.174,-0.031,0.405,"9.01e-01"," NA","No","ENSG00000179902","CFAP276","1p13.3","protein-coding","cilia and flagella associated protein 276"
"ENSG00000229820",15.747,-0.031,0.399,"9.00e-01"," NA","No","ENSG00000229820",NA,NA,NA,NA
"ENSG00000253372",16.561,-0.031,0.417,"9.03e-01"," NA","No","ENSG00000253372",NA,NA,NA,NA
"ENSG00000271749",10.708,-0.031,0.427,"9.02e-01"," NA","No","ENSG00000271749",NA,NA,NA,NA
"ENSG00000276807",8.846,-0.031,0.442,"8.99e-01"," NA","No","ENSG00000276807",NA,NA,NA,NA
"ENSG00000299957",11.224,-0.031,0.434,"9.01e-01"," NA","No","ENSG00000299957",NA,NA,NA,NA
"ENSG00000301000",17.521,-0.031,0.407,"9.00e-01"," NA","No","ENSG00000301000",NA,NA,NA,NA
"LNCSRLR",12.703,-0.031,0.468,"8.97e-01"," NA","No","ENSG00000240032","LNCSRLR","3q24","ncRNA","lncRNA sorafenib resistance in renal cell carcinoma associated"
"MMP19",13.266,-0.031,0.434,"8.99e-01"," NA","No","ENSG00000123342","MMP19","12q13.2","protein-coding","matrix metallopeptidase 19"
"NADK2-AS1",15.809,-0.031,0.428,"9.01e-01"," NA","No","ENSG00000245711","NADK2-AS1","5p13.2","ncRNA","NADK2 antisense RNA 1"
